Sample_Name	Axis1	Axis2	Axis3	Axis4	Axis5	Inversion	Chromosome
FAB_15X_LAMn_F_EXPOS_DWARF_161	-95.9484257288463	-49.4041458793213	26.5247719441485	-5.778863898042	17.3133765057768	Inv_3.1	LG3
FAB_15X_LAMn_F_EXPOS_DWARF_166	-90.7312596463171	-53.7026114017075	26.0857028247326	-1.61038790310829	4.20568724942888	Inv_3.1	LG3
FAB_15X_LAMn_F_EXPOS_DWARF_169	33.602584535816	-61.8506307440677	-29.4039640400769	10.1508833210596	-10.8957387187414	Inv_3.1	LG3
FAB_15X_LAMn_F_EXPOS_DWARF_179	-96.01331867914	-58.1326054404948	26.668450074951	3.66276856480069	-21.609368652189	Inv_3.1	LG3
FAB_15X_LAMn_F_SHELT_DWARF_1	168.999427237012	-59.2304865017562	-85.8459353117156	11.5142837315173	8.67991106539669	Inv_3.1	LG3
FAB_15X_LAMn_F_SHELT_LARGE_129	167.318067262686	-58.1099030935374	-85.7485437084628	11.1917752920343	-3.65701806155027	Inv_3.1	LG3
FAB_15X_LAMn_F_SHELT_LARGE_130	167.229036980386	-59.108299811857	-84.705861701345	14.8637010926833	-0.792769659343927	Inv_3.1	LG3
FAB_15X_LAMn_F_SHELT_LARGE_4	-91.8254044197235	-58.4753611017364	28.864840754038	-1.83777659459339	2.47529483776987	Inv_3.1	LG3
FAB_15X_LAMn_F_SHELT_LARGE_8	169.048039993935	-61.2153650570207	-86.6265350515477	13.0971805963149	3.67049691203961	Inv_3.1	LG3
FAB_15X_LAMn_M_EXPOS_DWARF_167	-96.1677494509676	-50.9822184630116	25.3953035337888	-2.28158705921152	1.57080247555802	Inv_3.1	LG3
FAB_15X_LAMn_M_EXPOS_DWARF_170	-94.6946918360718	-54.4036336031719	29.6653889337403	-7.48883737952948	31.3788024136774	Inv_3.1	LG3
FAB_15X_LAMn_M_EXPOS_DWARF_171	-94.2127178623747	-55.2377507535633	27.9843919790037	-1.4803139362542	4.32267052426539	Inv_3.1	LG3
FAB_15X_LAMn_M_EXPOS_LARGE_165	-92.1429538276157	-55.2345276326263	27.1097397290134	-5.26803113346158	17.6577033696518	Inv_3.1	LG3
FAB_15X_LAMn_M_SHELT_DWARF_131	168.273560826154	-61.0120093076926	-86.6904588723216	12.6199672172182	-3.98646828591983	Inv_3.1	LG3
FAB_15X_LAMn_M_SHELT_LARGE_128	38.2129506041911	-55.2324042885402	-28.7873661169576	2.63020867762734	15.9043870134494	Inv_3.1	LG3
FAB_15X_LAMn_M_SHELT_LARGE_132	167.909967248297	-61.9174380583664	-85.5145612809089	10.8469821918113	-2.61407440521665	Inv_3.1	LG3
FAB_15X_LAMn_M_SHELT_LARGE_2	172.121843224306	-58.6675151571196	-84.3198126664678	11.3776217788591	-1.67774796014597	Inv_3.1	LG3
FAB_15X_LAMn_M_SHELT_LARGE_5	166.104263507263	-57.5931068445578	-82.588003782445	6.99318565315514	4.30279341320059	Inv_3.1	LG3
FAB_15X_LOKn_F_SHELT_DWARF_1025	179.516169766888	29.9259296496751	58.4341328278698	20.7354090952956	2.55515408543325	Inv_3.1	LG3
FAB_15X_LOKn_F_SHELT_LARGE_971	-99.5670629345833	53.7204727546708	-27.8876608268803	2.09187889804829	-20.8662099103597	Inv_3.1	LG3
FAB_15X_LOKn_F_TRANS_DWARF_909	172.244703672637	19.5384047153819	29.0728635935875	-54.0526062706426	-8.40665312451269	Inv_3.1	LG3
FAB_15X_LOKn_M_EXPOS_DWARF_827	34.5994773290023	36.1851176570895	1.66305207180771	-29.375712358085	9.46985785585741	Inv_3.1	LG3
FAB_15X_LOKn_M_EXPOS_LARGE_868	-98.1451023706003	52.8083564688031	-28.9362189831033	2.09206248938942	-23.0055947334053	Inv_3.1	LG3
FAB_15X_LOKn_M_SHELT_DWARF_1012	170.481973069993	26.2204395551633	36.8055894801468	-61.2206588027189	-11.7747300887827	Inv_3.1	LG3
FAB_15X_LOKn_M_TRANS_LARGE_907	-98.0722173459625	49.4545802130678	-25.0600030847421	1.09505950231996	-15.8492079988348	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_142	-86.2220549705331	-48.7490922108732	22.1981726126927	-3.24283114672284	18.4247637802117	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_143	-92.6654107475658	-55.2115925141148	26.5864415585377	2.20156941521506	-23.7138042013435	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_144	-89.6642213663617	-47.8112112023099	26.564441618955	-6.80339147445298	20.5895135891986	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_147	-89.3104156003518	-50.4204956603537	26.2387106840316	-2.13470543370248	0.621166586942832	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_152	-92.6051535302361	-54.3808915240978	25.2457367574935	2.88227616426804	-18.582576573407	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_153	-92.2618726683952	-50.6029531779108	25.7199070105546	-0.990709763557028	1.83233133397747	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_156	-94.4831135065334	-50.3181999964219	25.5777901975279	-1.07544870989034	0.34201478592794	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_160	-91.4779736249924	-49.4843472522019	26.3882823286454	-2.36408522959898	0.666689742107579	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_168	-89.977539413072	-49.0451396488045	25.1585657083345	-1.76241815235214	1.79497164292958	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_173	-92.1716105960797	-49.5292668964017	26.7285988942924	-3.19309728685547	15.8767072297736	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_191	-93.257071246585	-49.2548559658405	26.2005883285025	-1.94804756202695	-2.94882379356592	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_192	-92.102965907964	-53.7915502306331	25.098438241029	2.78550034802769	-24.8705491381425	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_54	-94.4090724864258	-51.5541604676831	26.0289495593122	-0.818634623580774	0.797026098331608	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_DWARF_55	-91.7873799989396	-45.0021105991839	23.4777804672044	-6.54046116288208	29.5928711575587	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_LARGE_159	-92.1045433305472	-51.2978936550199	26.6977898530834	0.37614180338028	-6.13762564702882	Inv_3.1	LG3
FAB_5X_LAMn_F_EXPOS_LARGE_180	-91.0767487059333	-51.7464545572389	25.6589984641031	3.17209954768645	-15.6964396419071	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_DWARF_121	148.652200436788	-50.8045696348401	-71.4833650996276	6.54961747185871	0.774532805048678	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_DWARF_126	-83.6338196082259	-51.1066726414665	22.9799281995388	-1.02607772109622	5.56578595200883	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_DWARF_89	-90.5906827164089	-51.0940800842014	24.9449428259959	-0.281968007649228	-6.3915614164194	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_DWARF_94	-92.695521446749	-49.7749586931094	25.8341133908054	-4.24172435121426	14.417393391127	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_100	-90.7026747222179	-55.6973613692932	25.265261277903	3.43018519546996	-17.0844314374711	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_102	155.519910528154	-53.3660391229118	-75.5416783062153	8.93008520706916	-2.15692595372972	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_104	-88.2141473773626	-45.178996103977	22.0917281153094	-3.10281514792249	13.8187985185531	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_105	155.974546800492	-51.0351117263279	-71.8649615037399	7.65564446482014	9.71936192261778	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_107	-89.7476229954999	-43.6137605106403	23.5336309820947	-4.12863076950507	16.1436535020745	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_111	37.0622873767788	-52.9317012111504	-27.0020576657036	-0.448507387812236	19.2331602345667	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_114	159.898789544782	-55.3743810740567	-77.7031629528528	11.1673483915019	-1.98730273775713	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_117	160.091142147469	-54.3374737609201	-78.3887485659539	9.98282632345758	5.71854179110589	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_118	165.071225679823	-55.2293027678334	-78.293940438905	10.4677864655929	5.89337492121143	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_119	158.334790336966	-53.4035054432197	-75.7993899676392	9.1768024521197	5.04258895871432	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_11	39.0954583721235	-51.3327434189882	-29.57587461451	-0.836661241727276	20.675138231653	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_122	154.536525302305	-54.217689146291	-73.9078605425443	9.83693170664348	-2.53222290129919	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_123	155.430444661593	-52.1572057055539	-73.8909796108532	9.71233277012251	4.59042222251552	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_127	155.323863748103	-50.0341939792559	-68.6685269411759	7.09524085932156	3.76543838733773	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_133	28.3102505784685	-51.3525455498092	-23.0708873870965	5.76466784848824	-6.92765458533828	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_15	165.715221712486	-56.3506611143781	-80.7553505938999	11.7891412520294	4.42374978388836	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_39	162.317995666182	-55.4319221172498	-80.9586809205911	11.8429214582323	3.53349759047078	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_40	36.5209095697332	-59.5472798021819	-28.0639928278051	7.3402769890276	-7.88589146317455	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_41	159.663653071164	-55.1967090615663	-77.6265603406871	8.7604813792716	-1.56752147268132	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_46	162.570358587913	-55.0830522456706	-78.8839490134282	10.4340267163663	4.68684488629695	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_49	163.379323870195	-56.3968833617356	-79.3888107998666	10.6770557116473	-3.49324210247583	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_90	-89.4960141246296	-51.7948215416417	23.7568366865288	4.04234399790168	-15.6517853926554	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_93	-94.7905720783174	-49.928988538417	26.0959404828998	-2.24948025289495	8.40271040217417	Inv_3.1	LG3
FAB_5X_LAMn_F_SHELT_LARGE_95	-92.4732993886114	-51.0979066556335	24.7151295483548	-0.677600220436511	0.380179139040034	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_DWARF_197	-92.1206294165666	-46.8675422939417	25.0361698595746	-2.40374725003178	1.54361719181473	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_DWARF_198	32.686484833001	-55.0313337962432	-25.0619853477701	7.38717700005839	-4.8617128377244	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_DWARF_205	-91.4412328949336	-53.1425217536079	26.7802466076378	-1.3202101516249	6.44517211241336	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_DWARF_209	36.4871486838273	-57.8364198925696	-31.8301057849708	8.96459404486485	-1.46029457656576	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_DWARF_210	-90.1833098034405	-48.7695527533985	25.1266387388835	-6.60755360428809	28.2338595072521	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_DWARF_87	-91.7726528857056	-56.8115618888469	26.0061591578776	2.71114827852925	-22.2416469359609	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_DWARF_88	-93.974665747345	-54.0562209842793	25.8788600517568	3.15705440305432	-23.7625896549139	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_LARGE_203	-90.3591830456304	-49.6548498625058	24.8840253660402	-2.13925100912496	3.94141917523454	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_LARGE_207	-92.2912172125374	-50.1369567653111	25.7904166847994	-1.63421585611047	2.80145368340177	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_LARGE_208	-91.1989264039655	-48.6554208388667	27.980237012057	-6.98250106818656	28.3006808149239	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_LARGE_211	-91.9324414876794	-47.9841638587037	25.7431013728549	-5.33001788126722	29.3591958162652	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_LARGE_212	-91.1605132213641	-46.0219435764918	25.1157164491638	-3.11376172316388	14.0766500197226	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_LARGE_79	-94.0556317561335	-58.1198979144159	27.9195970565982	2.6657309593014	-25.7138762819648	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_LARGE_86	-94.0714299759268	-46.0644694492578	25.4892472629391	-6.2623907498338	28.060003334128	Inv_3.1	LG3
FAB_5X_LAMn_F_TRANSI_LARGE_88	-93.8237331247448	-47.8324548497975	26.8588311246627	-7.24557106463419	25.7923840607401	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_141	33.1196578909855	-56.9390602362534	-29.7880913102709	8.5263479427899	-12.4000772477509	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_146	-93.789083794476	-53.5258042041005	27.1985678595947	-0.999388824655357	3.18765257480976	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_148	34.5471767509471	-55.3054773469832	-25.3420652635379	4.44855256893013	-11.4743874757925	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_149	-90.9052788819449	-48.4742181273915	25.7211949039434	-2.53817434725901	-1.57773413734489	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_154	-88.8299058104973	-50.7532166719517	24.6929463180315	-1.43149086289354	-1.23912311726685	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_157	-92.6289324081067	-49.4778108646918	24.7533773629175	-1.87645355735039	1.58882533058519	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_158	-93.1309646803082	-48.2902768482104	23.9289024325432	-1.11376426013399	2.64608593762267	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_164	-90.6576698326238	-45.2628643886942	24.3036548279075	-6.54289108618822	31.8752607206093	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_174	-91.5058439236457	-49.4044304293998	26.1165917040759	-3.59013504942384	13.5361676845742	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_175	-90.8075953980739	-56.2555866514327	27.2553113109109	3.03341871959769	-19.014887238742	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_181	-91.239889446902	-51.6391295406839	24.3023585852612	3.88169996569056	-18.7958788026612	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_182	-91.2835984122485	-53.7708725119161	26.897822599967	-1.64328142803221	4.63717521756679	Inv_3.1	LG3
FAB_5X_LAMn_M_EXPOS_DWARF_185	-88.2025614048124	-50.2064243613232	24.4127296908863	1.36529988679003	-17.6840577648348	Inv_3.1	LG3
