Sample_Name	Group	Inversion
FAB_15X_LOKn_F_SHELT_DWARF_1025	2	Inv_3.1
FAB_15X_LOKn_F_SHELT_LARGE_971	3	Inv_3.1
FAB_15X_LOKn_F_TRANS_DWARF_909	1	Inv_3.1
FAB_15X_LOKn_M_EXPOS_DWARF_827	1	Inv_3.1
FAB_15X_LOKn_M_EXPOS_LARGE_868	3	Inv_3.1
FAB_15X_LOKn_M_SHELT_DWARF_1012	1	Inv_3.1
FAB_15X_LOKn_M_TRANS_LARGE_907	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_DWARF_814	1	Inv_3.1
FAB_5X_LOKn_F_EXPOS_DWARF_863	1	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_778	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_779	1	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_801	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_802	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_803	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_806	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_808	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_810	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_818	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_819	2	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_820	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_821	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_822	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_838	2	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_844	1	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_857	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_858	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_861	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_862	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_865	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_870	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_875	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_877	1	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_878	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_883	3	Inv_3.1
FAB_5X_LOKn_F_EXPOS_LARGE_899	3	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1000	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1001	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1005	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1006	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1010	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1014	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1016	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1019	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1021	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1022	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_1024	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_960	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_961	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_964	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_966	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_970	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_976	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_978	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_982	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_984	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_989	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_995	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_996	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_998	1	Inv_3.1
FAB_5X_LOKn_F_SHELT_DWARF_999	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_LARGE_1004	2	Inv_3.1
FAB_5X_LOKn_F_SHELT_LARGE_993	1	Inv_3.1
FAB_5X_LOKn_F_TRANS_DWARF_917	2	Inv_3.1
FAB_5X_LOKn_F_TRANS_DWARF_924	2	Inv_3.1
FAB_5X_LOKn_F_TRANS_DWARF_925	1	Inv_3.1
FAB_5X_LOKn_F_TRANS_DWARF_926	1	Inv_3.1
FAB_5X_LOKn_F_TRANS_DWARF_952	1	Inv_3.1
FAB_5X_LOKn_F_TRANS_DWARF_957	1	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_901	2	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_910	2	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_914	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_916	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_920	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_922	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_931	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_932	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_940	1	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_941	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_946	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_949	3	Inv_3.1
FAB_5X_LOKn_F_TRANS_LARGE_955	1	Inv_3.1
FAB_5X_LOKn_M_EXPOS_DWARF_789	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_DWARF_811	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_DWARF_829	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_DWARF_830	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_DWARF_831	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_DWARF_869	2	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_776	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_780	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_782	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_784	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_785	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_787	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_788	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_790	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_792	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_793	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_794	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_797	2	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_800	1	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_809	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_813	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_815	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_824	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_825	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_826	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_832	1	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_835	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_836	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_843	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_846	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_847	1	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_848	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_849	1	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_853	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_854	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_872	2	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_876	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_881	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_884	1	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_885	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_886	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_888	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_890	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_891	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_892	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_893	3	Inv_3.1
FAB_5X_LOKn_M_EXPOS_LARGE_895	3	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_1002	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_1008	2	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_1009	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_1011	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_1015	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_1020	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_962	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_967	2	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_968	2	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_972	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_979	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_980	2	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_986	2	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_987	1	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_988	2	Inv_3.1
FAB_5X_LOKn_M_SHELT_DWARF_990	2	Inv_3.1
FAB_5X_LOKn_M_SHELT_LARGE_974	3	Inv_3.1
FAB_5X_LOKn_M_SHELT_LARGE_991	3	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_900	3	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_903	1	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_905	1	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_915	2	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_927	2	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_930	1	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_935	1	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_936	2	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_937	2	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_938	1	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_943	1	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_944	2	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_950	2	Inv_3.1
FAB_5X_LOKn_M_TRANS_DWARF_959	1	Inv_3.1
FAB_5X_LOKn_M_TRANS_LARGE_902	3	Inv_3.1
FAB_5X_LOKn_M_TRANS_LARGE_906	3	Inv_3.1
FAB_5X_LOKn_M_TRANS_LARGE_911	2	Inv_3.1
FAB_5X_LOKn_M_TRANS_LARGE_912	3	Inv_3.1
FAB_5X_LOKn_M_TRANS_LARGE_918	3	Inv_3.1
FAB_5X_LOKn_M_TRANS_LARGE_921	1	Inv_3.1
FAB_5X_LOKn_M_TRANS_LARGE_928	3	Inv_3.1
FAB_5X_LOKn_M_TRANS_LARGE_942	3	Inv_3.1
FAB_15X_LAMn_F_EXPOS_DWARF_161	2	Inv_4.1
FAB_15X_LAMn_F_EXPOS_DWARF_166	3	Inv_4.1
FAB_15X_LAMn_F_EXPOS_DWARF_169	3	Inv_4.1
FAB_15X_LAMn_F_EXPOS_DWARF_179	3	Inv_4.1
FAB_15X_LAMn_F_SHELT_DWARF_1	1	Inv_4.1
FAB_15X_LAMn_F_SHELT_LARGE_129	1	Inv_4.1
FAB_15X_LAMn_F_SHELT_LARGE_130	2	Inv_4.1
FAB_15X_LAMn_F_SHELT_LARGE_4	3	Inv_4.1
FAB_15X_LAMn_F_SHELT_LARGE_8	1	Inv_4.1
FAB_15X_LAMn_M_EXPOS_DWARF_167	3	Inv_4.1
FAB_15X_LAMn_M_EXPOS_DWARF_170	3	Inv_4.1
FAB_15X_LAMn_M_EXPOS_DWARF_171	3	Inv_4.1
FAB_15X_LAMn_M_EXPOS_LARGE_165	3	Inv_4.1
FAB_15X_LAMn_M_SHELT_DWARF_131	3	Inv_4.1
FAB_15X_LAMn_M_SHELT_LARGE_128	2	Inv_4.1
FAB_15X_LAMn_M_SHELT_LARGE_132	2	Inv_4.1
FAB_15X_LAMn_M_SHELT_LARGE_2	1	Inv_4.1
FAB_15X_LAMn_M_SHELT_LARGE_5	1	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_142	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_143	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_144	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_147	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_152	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_153	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_156	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_160	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_168	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_173	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_191	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_192	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_54	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_DWARF_55	2	Inv_4.1
FAB_5X_LAMn_F_EXPOS_LARGE_159	3	Inv_4.1
FAB_5X_LAMn_F_EXPOS_LARGE_180	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_DWARF_121	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_DWARF_126	3	Inv_4.1
FAB_5X_LAMn_F_SHELT_DWARF_89	3	Inv_4.1
FAB_5X_LAMn_F_SHELT_DWARF_94	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_100	3	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_102	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_104	3	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_105	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_107	3	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_111	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_114	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_117	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_118	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_119	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_11	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_122	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_123	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_127	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_133	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_15	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_39	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_40	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_41	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_46	2	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_49	1	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_90	3	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_93	3	Inv_4.1
FAB_5X_LAMn_F_SHELT_LARGE_95	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_DWARF_197	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_DWARF_198	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_DWARF_205	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_DWARF_209	2	Inv_4.1
FAB_5X_LAMn_F_TRANSI_DWARF_210	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_DWARF_87	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_DWARF_88	2	Inv_4.1
FAB_5X_LAMn_F_TRANSI_LARGE_203	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_LARGE_207	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_LARGE_208	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_LARGE_211	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_LARGE_212	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_LARGE_79	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_LARGE_86	3	Inv_4.1
FAB_5X_LAMn_F_TRANSI_LARGE_88	3	Inv_4.1
FAB_5X_LAMn_M_EXPOS_DWARF_141	3	Inv_4.1
FAB_5X_LAMn_M_EXPOS_DWARF_146	3	Inv_4.1
FAB_5X_LAMn_M_EXPOS_DWARF_148	3	Inv_4.1
FAB_5X_LAMn_M_EXPOS_DWARF_149	3	Inv_4.1
FAB_5X_LAMn_M_EXPOS_DWARF_154	3	Inv_4.1
FAB_5X_LAMn_M_EXPOS_DWARF_157	3	Inv_4.1
FAB_5X_LAMn_M_EXPOS_DWARF_158	3	Inv_4.1
FAB_5X_LAMn_M_EXPOS_DWARF_164	2	Inv_4.1
